GW,Team Rank,Formation,Total Score,GK Player,GK Club,GK Score,DEF Player,DEF Club,DEF Score,MID Player,MID Club,MID Score,FWD Player,FWD Club,FWD Score,Extra Player,Extra Club,Extra Position,Extra Score
GW 157,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 157,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 157,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 156,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 156,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 156,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 156,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 155,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 155,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 155,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 155,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 154,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 154,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 154,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 154,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 153,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 153,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 153,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 153,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 152,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 152,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 152,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 152,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 151,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 151,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 151,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 151,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 150,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 150,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 150,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 150,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 149,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 149,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 149,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 149,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 148,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 148,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 148,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 148,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 147,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 147,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 147,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 147,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 146,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 146,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 146,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 146,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 145,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 145,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 145,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 145,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 144,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 144,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 144,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 144,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 143,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 143,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 143,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 143,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 142,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 142,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 142,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 142,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 141,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 141,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 141,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 141,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 140,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 140,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 140,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 140,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 139,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 139,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 139,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 139,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 138,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 138,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 138,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 138,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 137,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 137,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 137,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 137,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 136,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 136,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 136,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 136,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
GW 135,1,Extra DEF,0.0,Adem Ağaoğlu,Trabzonspor Kulübü,0.0,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,0.0,Abdou Fall,Fenerbahçe Spor Kulübü,0.0,Ada Yüzgeç,Galatasaray Spor Kulübü,0.0,Adam Montgomery,Celtic FC,DEF,0.0
GW 135,2,Extra DEF,0.0,Ahmet Yıldırım,Trabzonspor Kulübü,0.0,Adrian Barišić,Sporting Braga,0.0,Adnan Fettahoğlu,Fenerbahçe Spor Kulübü,0.0,Ahmed Kutucu,Galatasaray Spor Kulübü,0.0,Afonso Sousa,Sporting Braga,DEF,0.0
GW 135,3,Extra DEF,0.0,Alaa Bellaarouch,Sporting Braga,0.0,Ahmet Tekke,Trabzonspor Kulübü,0.0,Aiden McCallion,Rangers FC,0.0,Ahmet Bircan,Beşiktaş Jimnastik Kulübü,0.0,Alberto Costa,FC Porto,DEF,0.0
GW 135,4,Extra DEF,0.0,Alexander Schlager,FC Red Bull Salzburg,0.0,Aleksa Terzić,FC Red Bull Salzburg,0.0,Alan Varela,FC Porto,0.0,Alaettin Ekici,Fenerbahçe Spor Kulübü,0.0,Alexander Bah,SL Benfica,DEF,0.0
